total_meters,price,floor,floors_count,rooms_count,relative_floor
42.2,18900000,21,29,1,0.7241379310344828
41.0,14950000,1,30,1,0.03333333333333333
50.3,32900000,4,32,1,0.125
45.2,21000000,11,23,1,0.4782608695652174
31.0,10999950,8,8,1,1.0
43.5,24500000,11,13,1,0.8461538461538461
36.3,10496388,19,25,1,0.76
41.3,11314272,17,25,1,0.68
41.0,11600000,11,20,1,0.55
53.8,7300000,10,15,1,0.6666666666666666
46.5,19170000,13,25,1,0.52
38.0,11500000,8,12,1,0.6666666666666666
27.1,11000000,12,16,1,0.75
38.6,27400000,8,9,1,0.8888888888888888
37.1,10500000,6,14,1,0.42857142857142855
35.2,10800000,1,12,1,0.08333333333333333
39.0,9600000,2,5,1,0.4
38.1,11400000,16,17,1,0.9411764705882353
32.0,11500000,4,9,1,0.4444444444444444
30.4,15500000,1,5,1,0.2
34.0,15500000,21,24,1,0.875
40.3,12950000,2,13,1,0.15384615384615385
42.1,15700000,10,14,1,0.7142857142857143
38.9,21650000,11,19,1,0.5789473684210527
38.0,22210000,14,16,1,0.875
47.0,22990000,14,15,1,0.9333333333333333
40.7,25490000,22,26,1,0.8461538461538461
43.0,28950000,8,8,1,1.0
37.3,6800000,14,16,1,0.875
42.9,6900000,3,3,1,1.0
34.0,9200000,5,9,1,0.5555555555555556
30.8,7290000,12,16,1,0.75
28.0,7800000,4,4,1,1.0
32.0,11700000,7,9,1,0.7777777777777778
35.0,8898000,7,22,1,0.3181818181818182
39.2,9200000,6,12,1,0.5
30.0,13600000,1,9,1,0.1111111111111111
39.0,9300000,6,17,1,0.35294117647058826
39.4,9600000,14,17,1,0.8235294117647058
28.8,13700000,3,5,1,0.6
44.0,11899000,17,18,1,0.9444444444444444
45.0,16600000,3,14,1,0.21428571428571427
35.9,9600000,4,17,1,0.23529411764705882
33.0,9900000,20,22,1,0.9090909090909091
38.8,11499998,17,22,1,0.7727272727272727
38.0,15200000,7,22,1,0.3181818181818182
35.0,9650000,18,26,1,0.6923076923076923
31.8,10000000,3,5,1,0.6
37.0,13700000,14,16,1,0.875
33.0,13200000,8,9,1,0.8888888888888888
34.0,12500000,20,33,1,0.6060606060606061
36.8,10490000,8,14,1,0.5714285714285714
33.0,11999999,6,8,1,0.75
48.0,10600000,1,17,1,0.058823529411764705
32.5,10850000,8,9,1,0.8888888888888888
38.4,11600000,9,12,1,0.75
41.0,10400000,14,14,1,1.0
36.1,9000000,12,21,1,0.5714285714285714
33.0,9399999,4,9,1,0.4444444444444444
34.3,11000000,4,19,1,0.21052631578947367
41.7,12150000,10,14,1,0.7142857142857143
30.4,13500000,5,5,1,1.0
38.0,10500000,3,16,1,0.1875
34.8,9250000,6,9,1,0.6666666666666666
38.9,12750000,3,17,1,0.17647058823529413
35.8,16500000,1,16,1,0.0625
40.0,16450000,8,19,1,0.42105263157894735
37.5,11300000,1,16,1,0.0625
32.3,10400000,1,5,1,0.2
42.0,11999999,3,16,1,0.1875
15.5,12500000,22,22,1,1.0
35.4,11350000,12,14,1,0.8571428571428571
35.2,11500000,11,14,1,0.7857142857142857
44.9,7850000,3,7,1,0.42857142857142855
32.0,12150000,7,22,1,0.3181818181818182
35.2,12550000,20,22,1,0.9090909090909091
42.0,10700000,5,9,1,0.5555555555555556
33.5,12300000,8,22,1,0.36363636363636365
50.0,12950000,12,12,1,1.0
32.6,10500000,7,17,1,0.4117647058823529
39.0,10990000,14,17,1,0.8235294117647058
39.3,9300000,1,17,1,0.058823529411764705
41.5,11800000,23,25,1,0.92
46.0,8200000,3,3,1,1.0
47.3,15394000,5,8,1,0.625
45.2,13700000,20,33,1,0.6060606060606061
46.7,14900000,17,33,1,0.5151515151515151
34.8,12799000,8,9,1,0.8888888888888888
35.0,9500000,3,8,1,0.375
30.2,8550000,1,17,1,0.058823529411764705
58.6,15900000,2,6,1,0.3333333333333333
42.2,7999999,9,17,1,0.5294117647058824
37.1,14500000,8,30,1,0.26666666666666666
31.7,16249000,1,12,1,0.08333333333333333
48.0,14800000,2,26,1,0.07692307692307693
34.0,10999000,3,9,1,0.3333333333333333
33.0,10250000,3,9,1,0.3333333333333333
30.8,10000000,5,9,1,0.5555555555555556
47.1,12200000,12,12,1,1.0
33.0,10100000,2,12,1,0.16666666666666666
36.7,9250000,15,17,1,0.8823529411764706
49.2,16800000,18,20,1,0.9
30.0,16000000,3,25,1,0.12
33.0,11500000,6,9,1,0.6666666666666666
32.3,12599000,3,9,1,0.3333333333333333
25.0,11480000,4,14,1,0.2857142857142857
36.0,14500000,11,32,1,0.34375
38.1,11000000,1,17,1,0.058823529411764705
45.0,16300000,21,24,1,0.875
36.8,12900000,12,22,1,0.5454545454545454
30.0,12900000,1,9,1,0.1111111111111111
42.0,16500000,5,17,1,0.29411764705882354
29.0,8700000,2,16,1,0.125
